node_id,role,inter_id,net_x,net_y,screen_x,screen_y
215173,center,215173,1076.83,2118.6,6.0,5.81
216151,leg,215173,1049.04,2105.45,0.0,2.97
216286,leg,215173,1062.49,2151.7,2.9,12.96
216287,leg,215173,1087.87,2091.67,8.38,0.0
216288,leg,215173,1105.04,2130.46,12.09,8.37
215174,center,215174,1477.13,2282.61,92.39,41.21
215431,leg,215174,1460.3,2323.2,88.76,49.97
215432,leg,215174,1512.39,2296.65,100.0,44.24
215433,leg,215174,1488.67,2254.41,94.88,35.12
215434,leg,215174,1446.63,2269.62,85.81,38.41
