inter_id,approach_node,dir_code,direction,lane_count,sat_headway_sec,resource_capacity,capacity_veh_per_sec,sat_flow_veh_per_hr,service_delay_sec
215173,216151,l,좌회전,1,1.8947,1,0.5278,1900,1.8947
215173,216151,s,직진,4,1.8947,4,2.1111,7600,1.8947
215173,216286,l,좌회전,1,1.8947,1,0.5278,1900,1.8947
215173,216286,s,직진,4,1.8947,4,2.1111,7600,1.8947
215173,216287,l,좌회전,1,1.8947,1,0.5278,1900,1.8947
215173,216287,s,직진,4,1.8947,4,2.1111,7600,1.8947
215173,216288,l,좌회전,1,1.8947,1,0.5278,1900,1.8947
215173,216288,r,우회전,1,1.8947,1,0.5278,1900,1.8947
215173,216288,s,직진,4,1.8947,4,2.1111,7600,1.8947
215174,215431,l,좌회전,1,1.8947,1,0.5278,1900,1.8947
215174,215431,r,우회전,1,1.8947,1,0.5278,1900,1.8947
215174,215431,s,직진,4,1.8947,4,2.1111,7600,1.8947
215174,215432,l,좌회전,1,1.8947,1,0.5278,1900,1.8947
215174,215432,r,우회전,1,1.8947,1,0.5278,1900,1.8947
215174,215432,s,직진,4,1.8947,4,2.1111,7600,1.8947
215174,215433,l,좌회전,1,1.8947,1,0.5278,1900,1.8947
215174,215433,r,우회전,1,1.8947,1,0.5278,1900,1.8947
215174,215433,s,직진,3,1.8947,3,1.5833,5700,1.8947
215174,215434,l,좌회전,1,1.8947,1,0.5278,1900,1.8947
215174,215434,r,우회전,1,1.8947,1,0.5278,1900,1.8947
215174,215434,s,직진,4,1.8947,4,2.1111,7600,1.8947
