movement_key,inter_id,approach_node,dir_code,direction,from_edge,approach_len_m,approach_speed_ms,approach_time_sec,to_edge,exit_len_m,exit_speed_ms,exit_time_sec
215173_216151_l,215173,216151,l,좌회전,478542958_02,10.05,13.89,0.72,478543980_01,16.33,8.33,1.96
215173_216151_s,215173,216151,s,직진,478542958_02,10.05,13.89,0.72,478543984_01,8.33,13.89,0.6
215173_216286_l,215173,216286,l,좌회전,478543980_02,16.33,8.33,1.96,478543984_01,8.33,13.89,0.6
215173_216286_s,215173,216286,s,직진,478543980_02,16.33,8.33,1.96,478543982_01,9.32,8.33,1.12
215173_216287_l,215173,216287,l,좌회전,478543982_02,9.32,8.33,1.12,478542958_01,10.14,13.89,0.73
215173_216287_s,215173,216287,s,직진,478543982_02,9.32,8.33,1.12,478543980_01,16.33,8.33,1.96
215173_216288_l,215173,216288,l,좌회전,478543984_02,8.32,13.89,0.6,478543982_01,9.32,8.33,1.12
215173_216288_r,215173,216288,r,우회전,478543984_02,8.32,13.89,0.6,478543980_01,16.33,8.33,1.96
215173_216288_s,215173,216288,s,직진,478543984_02,8.32,13.89,0.6,478542958_01,10.14,13.89,0.73
215174_215431_l,215174,215431,l,좌회전,478504724_02,21.67,13.89,1.56,478504747_01,17.76,13.89,1.28
215174_215431_r,215174,215431,r,우회전,478504724_02,21.67,13.89,1.56,478504739_01,14.58,13.89,1.05
215174_215431_s,215174,215431,s,직진,478504724_02,21.67,13.89,1.56,478505011_01,10.53,19.44,0.54
215174_215432_l,215174,215432,l,좌회전,478504747_02,17.71,13.89,1.28,478505011_01,10.53,19.44,0.54
215174_215432_r,215174,215432,r,우회전,478504747_02,17.71,13.89,1.28,478504724_01,21.36,13.89,1.54
215174_215432_s,215174,215432,s,직진,478504747_02,17.71,13.89,1.28,478504739_01,14.58,13.89,1.05
215174_215433_l,215174,215433,l,좌회전,478505011_02,11.55,19.44,0.59,478504739_01,14.58,13.89,1.05
215174_215433_r,215174,215433,r,우회전,478505011_02,11.55,19.44,0.59,478504747_01,17.76,13.89,1.28
215174_215433_s,215174,215433,s,직진,478505011_02,11.55,19.44,0.59,478504724_01,21.36,13.89,1.54
215174_215434_l,215174,215434,l,좌회전,478504739_02,14.62,13.89,1.05,478504724_01,21.36,13.89,1.54
215174_215434_r,215174,215434,r,우회전,478504739_02,14.62,13.89,1.05,478505011_01,10.53,19.44,0.54
215174_215434_s,215174,215434,s,직진,478504739_02,14.62,13.89,1.05,478504747_01,17.76,13.89,1.28
