intersection_group,inter_id,from_inter_id,approach_node,leg_compass,bearing_to_origin,leg_bearing,angle_err_deg,is_link_leg
15,215173,215121,216151,SW,278.5,244.7,33.9,False
15,215173,215147,216151,SW,248.3,244.7,3.6,False
15,215173,215828,216151,SW,215.9,244.7,28.8,False
15,215173,215428,216286,NW,337.7,336.6,1.2,False
15,215173,215448,216287,S,153.8,157.7,3.9,False
15,215173,215449,216287,S,157.9,157.7,0.2,False
15,215173,215450,216287,S,160.4,157.7,2.7,False
15,215173,217073,216287,S,142.4,157.7,15.3,False
15,215173,SN20220927003657G,216287,S,135.5,157.7,22.2,False
15,215173,215174,216288,NE,67.7,67.2,0.5,True
15,215173,217446,216288,NE,55.4,67.2,11.8,True
16,215174,214953,215431,NW,337.9,337.5,0.4,False
16,215174,217645,215431,NW,353.8,337.5,16.3,False
16,215174,214964,215432,E,68.1,68.3,0.2,False
16,215174,216827,215432,E,35.9,68.3,32.4,False
16,215174,215011,215433,S,157.9,157.7,0.2,False
16,215174,215173,215434,SW,247.7,246.9,0.8,True
16,215174,215997,215434,SW,237.4,246.9,9.6,True
16,215174,217715,215434,SW,242.6,246.9,4.4,True
