intersection_group,window_start,window_end,from_inter_id,turn_typ2to_inter,movement_count,total_count,movement_ratio
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215121,l,306,892,0.3430493273542601
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215121,s,266,892,0.2982062780269058
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215121,unknown,320,892,0.35874439461883406
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215147,l,105,3155,0.03328050713153724
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215147,s,1798,3155,0.5698890649762282
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215147,unknown,1252,3155,0.39683042789223455
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215174,l,304,2840,0.10704225352112676
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215174,r,148,2840,0.05211267605633803
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215174,s,1373,2840,0.48345070422535213
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215174,unknown,1015,2840,0.3573943661971831
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215428,l,187,771,0.24254215304798962
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215428,s,262,771,0.3398184176394293
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215428,unknown,322,771,0.4176394293125811
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215448,l,7,119,0.058823529411764705
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215448,s,23,119,0.19327731092436976
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215448,unknown,89,119,0.7478991596638656
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215449,l,2,49,0.04081632653061224
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215449,s,12,49,0.24489795918367346
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215449,unknown,35,49,0.7142857142857143
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215450,l,149,2272,0.06558098591549295
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215450,s,527,2272,0.2319542253521127
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215450,unknown,1596,2272,0.7024647887323944
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215828,l,43,488,0.08811475409836066
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215828,s,233,488,0.4774590163934426
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215828,unknown,212,488,0.4344262295081967
15,2022-05-09 08:00:00,2022-05-09 09:00:00,217073,l,20,197,0.10152284263959391
15,2022-05-09 08:00:00,2022-05-09 09:00:00,217073,s,45,197,0.22842639593908629
15,2022-05-09 08:00:00,2022-05-09 09:00:00,217073,unknown,132,197,0.6700507614213198
15,2022-05-09 08:00:00,2022-05-09 09:00:00,217446,l,290,2491,0.11641910879164993
15,2022-05-09 08:00:00,2022-05-09 09:00:00,217446,r,200,2491,0.08028904054596547
15,2022-05-09 08:00:00,2022-05-09 09:00:00,217446,s,1234,2491,0.495383380168607
15,2022-05-09 08:00:00,2022-05-09 09:00:00,217446,unknown,767,2491,0.3079084704937776
15,2022-05-09 08:00:00,2022-05-09 09:00:00,SN20220927003657G,l,57,433,0.13163972286374134
15,2022-05-09 08:00:00,2022-05-09 09:00:00,SN20220927003657G,s,160,433,0.3695150115473441
15,2022-05-09 08:00:00,2022-05-09 09:00:00,SN20220927003657G,unknown,216,433,0.49884526558891457
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,214953,l,81,1724,0.04698375870069606
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,214953,r,336,1724,0.19489559164733178
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,214953,s,536,1724,0.3109048723897912
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,214953,unknown,771,1724,0.447215777262181
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,214964,l,178,3177,0.05602769908718917
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,214964,r,56,3177,0.01762669184765502
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,214964,s,1353,3177,0.4258734655335222
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,214964,unknown,1590,3177,0.5004721435316336
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215011,l,487,1995,0.24411027568922306
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215011,r,222,1995,0.11127819548872181
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215011,s,400,1995,0.20050125313283207
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215011,unknown,886,1995,0.44411027568922307
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215121,l,306,892,0.3430493273542601
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215121,s,266,892,0.2982062780269058
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215121,unknown,320,892,0.35874439461883406
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215147,l,105,3155,0.03328050713153724
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215147,s,1798,3155,0.5698890649762282
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215147,unknown,1252,3155,0.39683042789223455
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,l,159,1918,0.08289885297184567
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,r,196,1918,0.10218978102189781
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,s,805,1918,0.4197080291970803
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,unknown,758,1918,0.39520333680917624
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215174,l,304,2840,0.10704225352112676
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215174,r,148,2840,0.05211267605633803
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215174,s,1373,2840,0.48345070422535213
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215174,unknown,1015,2840,0.3573943661971831
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215428,l,187,771,0.24254215304798962
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215428,s,262,771,0.3398184176394293
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215428,unknown,322,771,0.4176394293125811
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215448,l,7,119,0.058823529411764705
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215448,s,23,119,0.19327731092436976
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215448,unknown,89,119,0.7478991596638656
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215449,l,2,49,0.04081632653061224
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215449,s,12,49,0.24489795918367346
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215449,unknown,35,49,0.7142857142857143
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215450,l,149,2272,0.06558098591549295
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215450,s,527,2272,0.2319542253521127
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215450,unknown,1596,2272,0.7024647887323944
