intersection_group,inter_id,phase_id,is_main_phase,n_main_phases,cycle_len_sec_est,green_sec,yellow_sec,n_occurrences,signal_state,green_movements
15,215173,1,False,5,300,57,3,1,grrrrrrrrrrGGGGyrrrrr,215173_216151_s;215173_216288_r
15,215173,2,True,5,300,57,3,12,grrrrrGGGGrrrrrrGGGGr,215173_216286_s;215173_216287_s;215173_216288_r
15,215173,3,True,5,300,57,3,9,grrrrrrrrrGrrrrrrrrrG,215173_216286_l;215173_216287_l;215173_216288_r
15,215173,4,True,5,300,57,3,14,GGGGGrrrrrrGGGGrrrrrr,215173_216151_s;215173_216288_r;215173_216288_s
15,215173,5,True,5,300,57,3,14,grrrrrrrrrrGGGGGrrrrr,215173_216151_l;215173_216151_s;215173_216288_r
15,215173,6,False,5,300,57,3,1,grrrrryyyyrrrrrryyyyr,215173_216288_r
15,215173,7,True,5,300,57,3,7,GGGGGGrrrrrrrrrrrrrrr,215173_216288_l;215173_216288_r;215173_216288_s
15,215173,8,False,5,300,57,3,1,GGGGGrrrrrryyyyrrrrrr,215173_216288_r;215173_216288_s
15,215173,9,False,5,300,57,3,1,grrrrrrrrryrrrrrrrrry,215173_216288_r
16,215174,1,True,4,240,57,3,23,GGGGGrgrrrrGGGGGrgrrrrr,215174_215431_r;215174_215432_r;215174_215432_s;215174_215433_r;215174_215434_r;215174_215434_s
16,215174,2,True,4,240,57,3,15,grrrrrGGGGrgrrrrrGGGGGr,215174_215431_r;215174_215431_s;215174_215432_r;215174_215433_r;215174_215433_s;215174_215434_r
16,215174,3,True,4,240,57,3,9,grrrrGgrrrrgrrrrGgrrrrr,215174_215431_r;215174_215432_l;215174_215432_r;215174_215433_r;215174_215434_l;215174_215434_r
16,215174,4,True,4,240,57,3,13,grrrrrgrrrGgrrrrrgrrrrG,215174_215431_l;215174_215431_r;215174_215432_r;215174_215433_l;215174_215433_r;215174_215434_r
