inter_id,linkIndex,movement,from_edge,to_edge,from_lane,dir_code,direction,approach_node,exit_node
215173,0,1,478543984_02,478543980_01,0,r,우회전,216288,216286
215173,1,2,478543984_02,478542958_01,0,s,직진,216288,216151
215173,2,3,478543984_02,478542958_01,1,s,직진,216288,216151
215173,3,4,478543984_02,478542958_01,2,s,직진,216288,216151
215173,4,5,478543984_02,478542958_01,3,s,직진,216288,216151
215173,5,6,478543984_02,478543982_01,4,l,좌회전,216288,216287
215173,6,7,478543982_02,478543980_01,0,s,직진,216287,216286
215173,7,8,478543982_02,478543980_01,1,s,직진,216287,216286
215173,8,9,478543982_02,478543980_01,2,s,직진,216287,216286
215173,9,10,478543982_02,478543980_01,3,s,직진,216287,216286
215173,10,11,478543982_02,478542958_01,4,l,좌회전,216287,216151
215173,11,12,478542958_02,478543984_01,0,s,직진,216151,216288
215173,12,13,478542958_02,478543984_01,1,s,직진,216151,216288
215173,13,14,478542958_02,478543984_01,2,s,직진,216151,216288
215173,14,15,478542958_02,478543984_01,3,s,직진,216151,216288
215173,15,16,478542958_02,478543980_01,4,l,좌회전,216151,216286
215173,16,17,478543980_02,478543982_01,0,s,직진,216286,216287
215173,17,18,478543980_02,478543982_01,1,s,직진,216286,216287
215173,18,19,478543980_02,478543982_01,2,s,직진,216286,216287
215173,19,20,478543980_02,478543982_01,3,s,직진,216286,216287
215173,20,21,478543980_02,478543984_01,4,l,좌회전,216286,216288
215174,0,1,478504747_02,478504724_01,0,r,우회전,215432,215431
215174,1,2,478504747_02,478504739_01,0,s,직진,215432,215434
215174,2,3,478504747_02,478504739_01,1,s,직진,215432,215434
215174,3,4,478504747_02,478504739_01,2,s,직진,215432,215434
215174,4,5,478504747_02,478504739_01,3,s,직진,215432,215434
215174,5,6,478504747_02,478505011_01,4,l,좌회전,215432,215433
215174,6,7,478505011_02,478504747_01,0,r,우회전,215433,215432
215174,7,8,478505011_02,478504724_01,1,s,직진,215433,215431
215174,8,9,478505011_02,478504724_01,2,s,직진,215433,215431
215174,9,10,478505011_02,478504724_01,3,s,직진,215433,215431
215174,10,11,478505011_02,478504739_01,4,l,좌회전,215433,215434
215174,11,12,478504739_02,478505011_01,0,r,우회전,215434,215433
215174,12,13,478504739_02,478504747_01,0,s,직진,215434,215432
215174,13,14,478504739_02,478504747_01,1,s,직진,215434,215432
215174,14,15,478504739_02,478504747_01,2,s,직진,215434,215432
215174,15,16,478504739_02,478504747_01,3,s,직진,215434,215432
215174,16,17,478504739_02,478504724_01,4,l,좌회전,215434,215431
215174,17,18,478504724_02,478504739_01,0,r,우회전,215431,215434
215174,18,19,478504724_02,478505011_01,0,s,직진,215431,215433
215174,19,20,478504724_02,478505011_01,1,s,직진,215431,215433
215174,20,21,478504724_02,478505011_01,2,s,직진,215431,215433
215174,21,22,478504724_02,478505011_01,3,s,직진,215431,215433
215174,22,23,478504724_02,478504747_01,4,l,좌회전,215431,215432
