intersection_group,window_start,window_end,inter_id,signal_start_time,signal_end_time,phase,signal_state,duration_sec,offset_sec
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,2022-05-09 08:00:00,2022-05-09 08:00:57,phase_01,grrrrrrrrrrGGGGyrrrrr,57.0,0.0
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,2022-05-09 08:00:57,2022-05-09 08:01:00,phase_02,grrrrrrrrrryyyyyrrrrr,3.0,57.0
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,2022-05-09 08:01:00,2022-05-09 08:01:57,phase_03,grrrrrGGGGrrrrrrGGGGr,57.0,60.0
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,2022-05-09 08:01:57,2022-05-09 08:02:00,phase_04,grrrrrrrrryrrrrrrrrry,3.0,117.0
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,2022-05-09 08:02:00,2022-05-09 08:02:57,phase_05,grrrrrrrrrGrrrrrrrrrG,57.0,120.0
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,2022-05-09 08:02:57,2022-05-09 08:03:00,phase_06,grrrrrrrrrrGGGGyrrrrr,3.0,177.0
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,2022-05-09 08:03:00,2022-05-09 08:03:57,phase_07,GGGGGrrrrrrGGGGrrrrrr,57.0,180.0
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,2022-05-09 08:03:57,2022-05-09 08:04:00,phase_08,Gyyyyyrrrrrrrrrrrrrrr,3.0,237.0
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,2022-05-09 08:04:00,2022-05-09 08:04:57,phase_09,grrrrrGGGGrrrrrrGGGGr,57.0,240.0
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,2022-05-09 08:04:57,2022-05-09 08:05:00,phase_10,grrrrrrrrryrrrrrrrrry,3.0,297.0
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,2022-05-09 08:05:00,2022-05-09 08:05:57,phase_11,grrrrrrrrrrGGGGGrrrrr,57.0,300.0
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,2022-05-09 08:05:57,2022-05-09 08:06:00,phase_12,GGGGGrrrrrryyyyrrrrrr,3.0,357.0
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,2022-05-09 08:06:00,2022-05-09 08:06:57,phase_13,GGGGGrrrrrrGGGGrrrrrr,57.0,360.0
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,2022-05-09 08:06:57,2022-05-09 08:07:00,phase_14,grrrrryyyyrrrrrryyyyr,3.0,417.0
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,2022-05-09 08:07:00,2022-05-09 08:07:57,phase_15,grrrrrrrrrGrrrrrrrrrG,57.0,420.0
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,2022-05-09 08:07:57,2022-05-09 08:08:00,phase_16,grrrrrrrrrrGGGGyrrrrr,3.0,477.0
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,2022-05-09 08:08:00,2022-05-09 08:08:57,phase_17,GGGGGrrrrrrGGGGrrrrrr,57.0,480.0
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,2022-05-09 08:08:57,2022-05-09 08:09:00,phase_18,Gyyyyyrrrrrrrrrrrrrrr,3.0,537.0
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,2022-05-09 08:09:00,2022-05-09 08:09:57,phase_19,grrrrrGGGGrrrrrrGGGGr,57.0,540.0
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,2022-05-09 08:09:57,2022-05-09 08:10:00,phase_20,grrrrryyyyrrrrrryyyyr,3.0,597.0
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,2022-05-09 08:10:00,2022-05-09 08:10:57,phase_21,grrrrrrrrrrGGGGGrrrrr,57.0,600.0
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,2022-05-09 08:10:57,2022-05-09 08:11:00,phase_22,grrrrrrrrrrGGGGyrrrrr,3.0,657.0
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,2022-05-09 08:11:00,2022-05-09 08:11:57,phase_23,GGGGGrrrrrrGGGGrrrrrr,57.0,660.0
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,2022-05-09 08:11:57,2022-05-09 08:12:00,phase_24,Gyyyyyrrrrrrrrrrrrrrr,3.0,717.0
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,2022-05-09 08:12:00,2022-05-09 08:12:57,phase_25,grrrrrGGGGrrrrrrGGGGr,57.0,720.0
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,2022-05-09 08:12:57,2022-05-09 08:13:00,phase_26,grrrrrrrrryrrrrrrrrry,3.0,777.0
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,2022-05-09 08:13:00,2022-05-09 08:13:57,phase_27,grrrrrrrrrrGGGGGrrrrr,57.0,780.0
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,2022-05-09 08:13:57,2022-05-09 08:14:00,phase_28,GGGGGrrrrrryyyyrrrrrr,3.0,837.0
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,2022-05-09 08:14:00,2022-05-09 08:14:57,phase_29,GGGGGrrrrrrGGGGrrrrrr,57.0,840.0
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,2022-05-09 08:14:57,2022-05-09 08:15:00,phase_30,grrrrryyyyrrrrrryyyyr,3.0,897.0
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,2022-05-09 08:15:00,2022-05-09 08:15:57,phase_31,grrrrryyyyrrrrrryyyyr,57.0,900.0
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,2022-05-09 08:15:57,2022-05-09 08:16:00,phase_32,grrrrrrrrryrrrrrrrrry,3.0,957.0
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,2022-05-09 08:16:00,2022-05-09 08:16:57,phase_33,GGGGGrrrrrrGGGGrrrrrr,57.0,960.0
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,2022-05-09 08:16:57,2022-05-09 08:17:00,phase_34,Gyyyyyrrrrrrrrrrrrrrr,3.0,1017.0
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,2022-05-09 08:17:00,2022-05-09 08:17:57,phase_35,GGGGGGrrrrrrrrrrrrrrr,57.0,1020.0
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,2022-05-09 08:17:57,2022-05-09 08:18:00,phase_36,grrrrrrrrryrrrrrrrrry,3.0,1077.0
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,2022-05-09 08:18:00,2022-05-09 08:18:57,phase_37,grrrrrrrrrrGGGGGrrrrr,57.0,1080.0
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,2022-05-09 08:18:57,2022-05-09 08:19:00,phase_38,grrrrrrrrrrGGGGyrrrrr,3.0,1137.0
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,2022-05-09 08:19:00,2022-05-09 08:19:57,phase_39,GGGGGrrrrrrGGGGrrrrrr,57.0,1140.0
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,2022-05-09 08:19:57,2022-05-09 08:20:00,phase_40,Gyyyyyrrrrrrrrrrrrrrr,3.0,1197.0
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,2022-05-09 08:20:00,2022-05-09 08:20:57,phase_41,grrrrrGGGGrrrrrrGGGGr,57.0,1200.0
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,2022-05-09 08:20:57,2022-05-09 08:21:00,phase_42,grrrrrrrrryrrrrrrrrry,3.0,1257.0
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,2022-05-09 08:21:00,2022-05-09 08:21:57,phase_43,grrrrrrrrrGrrrrrrrrrG,57.0,1260.0
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,2022-05-09 08:21:57,2022-05-09 08:22:00,phase_44,GGGGGrrrrrryyyyrrrrrr,3.0,1317.0
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,2022-05-09 08:22:00,2022-05-09 08:22:57,phase_45,GGGGGGrrrrrrrrrrrrrrr,57.0,1320.0
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,2022-05-09 08:22:57,2022-05-09 08:23:00,phase_46,grrrrryyyyrrrrrryyyyr,3.0,1377.0
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,2022-05-09 08:23:00,2022-05-09 08:23:57,phase_47,grrrrrrrrrGrrrrrrrrrG,57.0,1380.0
